# Testes analiticos, nao cotacao nem previsao comercial.
# Base hipotetica: spread=25 bps, tarifa fixa=R$40 e carry=4 bps.
# IOF incerto: BENS_SERVICOS OUT=38 bps e ATIVOS_VIRTUAIS OUT=350 bps na base.
# Cada Ordem e uma posicao liquida; nao ha deducao adicional de autonetting.
# Cada semente representa uma carteira-ano sintetica de 365 dias.
nome_mix,n_clientes,janela_dias,horizonte_dias,seed_base,cenario,descricao,spread_bps,tarifa_fixa_brl,carry_bps,iof_bens_servicos_out_bps,iof_ativos_virtuais_out_bps,economia_base_bps,efeito_spread_bps,efeito_tarifa_bps,efeito_carry_bps,efeito_iof_bens_servicos_bps,efeito_iof_ativos_virtuais_bps,economia_estressada_bps,economia_positiva
equilibrado,8,1,365,1,base_hipotetica,Hipoteses atuais do modelo; ainda nao calibradas.,25.000000,40.00,4.000000,38.000000,350.000000,119.991020,0.000000,0.000000,-0.000000,0.000000,0.000000,119.991020,True
equilibrado,8,1,365,1,sem_spread,Retira integralmente o spread evitado.,0.000000,40.00,4.000000,38.000000,350.000000,119.991020,-20.437200,0.000000,-0.000000,0.000000,0.000000,99.553820,True
equilibrado,8,1,365,1,sem_tarifa_fixa,Retira integralmente a tarifa fixa evitada.,25.000000,0.00,4.000000,38.000000,350.000000,119.991020,0.000000,-1.080120,-0.000000,0.000000,0.000000,118.910900,True
equilibrado,8,1,365,1,iof_incerto_zero,Zera somente as duas aliquotas de IOF ainda nao confirmadas.,25.000000,40.00,4.000000,0.000000,0.000000,119.991020,0.000000,0.000000,-0.000000,-6.071019,-57.730474,56.189527,True
equilibrado,8,1,365,1,piso_sem_componentes_incertos,"Zera spread, tarifa fixa e as duas aliquotas incertas; mantem carry em 4 bps.",0.000000,0.00,4.000000,0.000000,0.000000,119.991020,-20.437200,-1.080120,-0.000000,-6.071019,-57.730474,34.672207,True
equilibrado,8,1,365,1,carry_25bps,"Eleva o carry de 4 para 25 bps, sem alterar os demais componentes.",25.000000,40.00,25.000000,38.000000,350.000000,119.991020,0.000000,0.000000,-17.167248,0.000000,0.000000,102.823772,True
equilibrado,8,1,365,1,combinado_severo,Aplica o piso dos componentes incertos e eleva o carry para 25 bps.,0.000000,0.00,25.000000,0.000000,0.000000,119.991020,-20.437200,-1.080120,-17.167248,-6.071019,-57.730474,17.504959,True
equilibrado,8,1,365,1,sem_carry,Limite superior simples: retira o custo de carry e mantem o restante na base.,25.000000,40.00,0.000000,38.000000,350.000000,119.991020,0.000000,0.000000,3.269952,0.000000,0.000000,123.260972,True
equilibrado,8,7,365,1,base_hipotetica,Hipoteses atuais do modelo; ainda nao calibradas.,25.000000,40.00,4.000000,38.000000,350.000000,121.180697,0.000000,0.000000,-0.000000,0.000000,0.000000,121.180697,True
equilibrado,8,7,365,1,sem_spread,Retira integralmente o spread evitado.,0.000000,40.00,4.000000,38.000000,350.000000,121.180697,-20.541275,0.000000,-0.000000,0.000000,0.000000,100.639422,True
equilibrado,8,7,365,1,sem_tarifa_fixa,Retira integralmente a tarifa fixa evitada.,25.000000,0.00,4.000000,38.000000,350.000000,121.180697,0.000000,-1.085920,-0.000000,0.000000,0.000000,120.094777,True
